Date : 2025-04-07 02:15:56
Directory : c:\Users\user\Desktop\项目\chat-frontend
Total : 60 files,  6126 codes, 37 comments, 1169 blanks, all 7332 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          1 |      3,222 |          0 |        840 |      4,062 |
| TypeScript JSX     |         30 |      2,316 |         31 |        241 |      2,588 |
| TypeScript         |         13 |        327 |          2 |         60 |        389 |
| JSON               |          3 |         92 |          4 |          8 |        104 |
| CSS                |          8 |         76 |          0 |          6 |         82 |
| Markdown           |          1 |         45 |          0 |         10 |         55 |
| JavaScript         |          1 |         27 |          0 |          2 |         29 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |         60 |      6,126 |         37 |      1,169 |      7,332 |
| . (Files)                                                                                 |          9 |      3,419 |          5 |        863 |      4,287 |
| public                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src                                                                                       |         50 |      2,706 |         32 |        306 |      3,044 |
| src (Files)                                                                               |          2 |          8 |          1 |          3 |         12 |
| src\components                                                                            |         28 |      2,221 |         29 |        246 |      2,496 |
| src\components\Chat_Main                                                                  |          4 |        523 |          2 |         64 |        589 |
| src\components\Collection                                                                 |          1 |        103 |          1 |         10 |        114 |
| src\components\ContactList                                                                |          2 |        176 |          7 |         11 |        194 |
| src\components\ContactList (Files)                                                        |          1 |        116 |          7 |          9 |        132 |
| src\components\ContactList\FiriendCard                                                    |          1 |         60 |          0 |          2 |         62 |
| src\components\FR_notification                                                            |          2 |        194 |          0 |         16 |        210 |
| src\components\Friendship                                                                 |          3 |        235 |          9 |         24 |        268 |
| src\components\Group                                                                      |          7 |        485 |          4 |         53 |        542 |
| src\components\Group (Files)                                                              |          5 |        358 |          1 |         47 |        406 |
| src\components\Group\GroupList                                                            |          2 |        127 |          3 |          6 |        136 |
| src\components\Group\GroupList (Files)                                                    |          1 |         88 |          1 |          3 |         92 |
| src\components\Group\GroupList\GroupCard                                                  |          1 |         39 |          2 |          3 |         44 |
| src\components\Login_Main                                                                 |          2 |         79 |          0 |         12 |         91 |
| src\components\Register_Main                                                              |          2 |        138 |          0 |         19 |        157 |
| src\components\UpdateInfo                                                                 |          3 |        171 |          6 |         23 |        200 |
| src\components\UpdatePassword                                                             |          2 |        117 |          0 |         14 |        131 |
| src\router                                                                                |          1 |         55 |          0 |          1 |         56 |
| src\services                                                                              |          9 |        178 |          0 |         38 |        216 |
| src\services (Files)                                                                      |          2 |         50 |          0 |          8 |         58 |
| src\services\chat                                                                         |          1 |          4 |          0 |          2 |          6 |
| src\services\contact                                                                      |          1 |         59 |          0 |         11 |         70 |
| src\services\favor                                                                        |          1 |         18 |          0 |          4 |         22 |
| src\services\file                                                                         |          1 |          4 |          0 |          2 |          6 |
| src\services\login                                                                        |          1 |          7 |          0 |          2 |          9 |
| src\services\regist                                                                       |          1 |         12 |          0 |          3 |         15 |
| src\services\self                                                                         |          1 |         24 |          0 |          6 |         30 |
| src\utils                                                                                 |          1 |         28 |          0 |          1 |         29 |
| src\views                                                                                 |          9 |        216 |          2 |         17 |        235 |
