"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Add_Main\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 6
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Friendship\ContactList\index.tsx", "TypeScript JSX", -2, 0, 0, 0, 1, -1
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Login_Main\index.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Login_Main\index.tsx", "TypeScript JSX", 14, 0, 0, 6, 0, 20
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\UpdatePassword\index.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\UpdatePassword\index.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 3
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\index.css", "CSS", 0, 4, 0, 0, 0, 4
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\index.tsx", "TypeScript JSX", 7, 0, 0, 5, -1, 11
"c:\Users\user\Desktop\项目\chat-frontend\src\components\Self_Main\userCard\index.tsx", "TypeScript JSX", -27, 0, 0, 0, -1, -28
"c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\Create.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2
"c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\searchBar.tsx", "TypeScript JSX", 79, 0, 0, -2, 5, 82
"c:\Users\user\Desktop\项目\chat-frontend\src\router\index.tsx", "TypeScript JSX", -10, 0, 0, 12, 0, 2
"c:\Users\user\Desktop\项目\chat-frontend\src\services\index.ts", "TypeScript", 0, 0, 0, 1, -1, 0
"c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.css", "CSS", 0, 7, 0, 0, -1, 6
"c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.tsx", "TypeScript JSX", 19, 0, 0, 1, 2, 22
"c:\Users\user\Desktop\项目\chat-frontend\src\views\login\index.tsx", "TypeScript JSX", -5, 0, 0, 0, -2, -7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\notification\index.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, -2
"c:\Users\user\Desktop\项目\chat-frontend\src\views\regist\index.tsx", "TypeScript JSX", -5, 0, 0, 0, -2, -7
"Total", "-", 76, 19, 0, 26, 0, 121
